name,synonyme,kurzzeichen,kategorie,unterkategorie,beschreibung,verwendung,typischer_container,ist_behälter,typische_fahrzeuge,din_ref,einheit_menge,region,quelle_konfidenz
Blechschere,Handblechschere,,Werkzeug & Rüstzeug,Handwerkzeug,"Schere zum Schneiden von Blech","Trennen dünner Bleche von Hand",Werkzeugkoffer,nein,RW;HLF 20,,Stück,DE,niedrig
Türöffnungswerkzeug,Türöffner;Türöffnungsset;Rabid-Tool,,Technische Hilfeleistung,Rüstwerkzeug,"Werkzeugsatz zum schonenden Öffnen von Türen","Gewaltfreies oder gewaltsames Öffnen verschlossener Türen",,ja,HLF 20;RW,,Satz,DE,niedrig
Zylinderziehgerät,Schließzylinderzieher;Ziehfix,,Technische Hilfeleistung,Rüstwerkzeug,"Gerät zum Herausziehen von Schließzylindern","Öffnen von Türen über den Schließzylinder",Türöffnungswerkzeug,nein,HLF 20;RW,,Stück,DE,niedrig
Türkeil,Türfeststeller;Keil,,Technische Hilfeleistung,Belüftung,"Keil zum Offenhalten von Türen","Türen für Schlauch- und Belüftungswege offen halten",,nein,LF 20;HLF 20,,Stück,DE,niedrig
Feuerwehreimer,Löscheimer;Eimer,,Werkzeug & Rüstzeug,Sonstiges,"Robuster Eimer aus Kunststoff oder Metall","Wassertransport von Hand und Kleinlöschmaßnahmen",,nein,LF 20;TSF,DIN 14808,Stück,DE,niedrig
Straßenbesen,Kehrbesen;Besen,,Werkzeug & Rüstzeug,Reinigung,"Grober Besen mit Stiel","Reinigen der Fahrbahn nach technischen Einsätzen",,nein,LF 20;HLF 20;RW,,Stück,DE,niedrig
Kehrgarnitur,Handbesen und Kehrblech;Kehrset,,Werkzeug & Rüstzeug,Reinigung,"Handbesen mit Kehrblech","Aufnehmen von Splitt und Kleinteilen",,nein,LF 20;HLF 20,,Satz,DE,niedrig
Gliedermaßstab,Zollstock;Meterstab,,Werkzeug & Rüstzeug,Handwerkzeug,"Klappbarer Maßstab","Messen bei Rüst- und Bauarbeiten",Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Stück,DE,niedrig
Rollbandmaß,Maßband;Bandmaß,,Werkzeug & Rüstzeug,Handwerkzeug,"Aufrollbares Maßband","Längenmessung an der Einsatzstelle",Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Stück,DE,niedrig
Flachmeißel,Meißel,,Werkzeug & Rüstzeug,Handwerkzeug,"Stahlmeißel für Metall und Stein","Abtragen und Trennen von Material mit dem Hammer",Werkzeugkoffer,nein,LF 20;HLF 20;RW,DIN 14881,Stück,DE,mittel
Feile,Werkstattfeile,,Werkzeug & Rüstzeug,Handwerkzeug,"Feile zum Abtragen von Material","Entgraten und Nacharbeiten von Metall",Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Stück,DE,niedrig
Inbusschlüssel-Satz,Innensechskantschlüssel;Stiftschlüsselsatz,,Werkzeug & Rüstzeug,Handwerkzeug,"Satz Innensechskant-Stiftschlüssel","Lösen von Innensechskantschrauben",Werkzeugkoffer,nein,LF 20;HLF 20;RW,DIN 14881,Satz,DE,mittel
Steckschlüsselsatz,Nusskasten;Ratschenkasten,,Werkzeug & Rüstzeug,Handwerkzeug,"Kasten mit Ratsche und Stecknüssen","Lösen und Anziehen von Schrauben und Muttern",Werkzeugkoffer,nein,LF 20;HLF 20;RW,DIN 14881,Satz,DE,mittel
Holzsäge,Fuchsschwanz;Handsäge Holz,,Werkzeug & Rüstzeug,Handwerkzeug,"Handsäge für Holz","Trennen von Holzbauteilen von Hand",Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Stück,DE,niedrig
Überdrucklüfter,Drucklüfter;Belüftungsgerät;PPV-Lüfter;Lüfter,,Brandbekämpfung,Belüftung,"Motor-, elektro- oder wasserbetriebenes Gebläse","Rauchfreihalten und Entrauchen von Gebäuden per Überdruckbelüftung",,nein,HLF 20;LF 20;RW,,Stück,DE,hoch
Rauchverschluss,Rauchschutzvorhang;Rauchschutztür,,Brandbekämpfung,Belüftung,"Textiler Vorhang zum Abdichten von Türöffnungen","Ausbreitung von Rauch im Treppenraum verhindern",,nein,HLF 20;LF 20,,Stück,DE,mittel
Schaumlöscher,Feuerlöscher Schaum;Nasslöscher,S 6,Brandbekämpfung,Kleinlöschgerät,"Tragbarer Feuerlöscher mit Schaum","Erstbekämpfung von Bränden der Klassen A und B",,nein,LF 20;HLF 20,DIN EN 3,Stück,DE,mittel
Fettbrandlöscher,Feuerlöscher F;Klasse-F-Löscher,F,Brandbekämpfung,Kleinlöschgerät,"Feuerlöscher für Speiseöl- und Fettbrände","Löschen von Fettbränden der Brandklasse F",,nein,ELW;GW,DIN EN 3,Stück,DE,niedrig
Löschlanze,Piercing-Löschlanze;Löschnagel,,Brandbekämpfung,Strahlrohre,"Spitze Lanze mit Düsen zum Durchstechen","Löschen in Hohlräumen und hinter Verkleidungen",,nein,HLF 20;RW,,Stück,DE,niedrig
Hydroschild,Sprühschild;Riegelrohr,,Brandbekämpfung,Strahlrohre,"Armatur die einen breiten Wasserschirm erzeugt","Wärmestrahlungsschutz und Riegelstellung",,nein,TLF;LF 20,,Stück,DE,niedrig
Kaminkehrgerät,Kaminbrand-Set;Schornsteinbesen,,Brandbekämpfung,Sonstiges,"Bürsten, Kugel und Kette für Schornsteine","Bekämpfen und Ausräumen von Kaminbränden",,ja,LF 20;HLF 20,,Satz,DE,niedrig
Schnellangriffseinrichtung,Schnellangriff;S-Schlauch-Haspel;formstabile Haspel,,Brandbekämpfung,Löschangriff,"Fest verrohrte Haspel mit formstabilem Schlauch und Hohlstrahlrohr","Sofortiger Löschangriff ohne aufwändigen Aufbau",,nein,HLF 20;TLF;LF 20,,fest eingebaut,DE,mittel
Schlauchhaspel,fahrbare Schlauchhaspel;B-Haspel,,Schläuche & Armaturen,Transport,"Fahrbare Haspel mit aufgerollten B-Schläuchen","Schnelles Verlegen langer Förderstrecken",,ja,GW-L;LF 20,DIN 14824,Stück,DE,niedrig
Druckbegrenzungsventil,Überströmventil;Druckminderer,,Schläuche & Armaturen,Verteilarmaturen,"Ventil das den Leitungsdruck begrenzt","Schutz der Leitung im Relais- und Förderbetrieb",,nein,LF 20;HLF 20;GW-L,,Stück,DE,niedrig
Druckschlauch A,A-Schlauch;A-Druckschlauch,A,Schläuche & Armaturen,Druckschläuche,"Großer Druckschlauch 110 mm","Förderung sehr großer Wassermengen bei Zubringerleitungen",,nein,GW-L;TLF,DIN 14811,Rolle 20 m,DE,niedrig
Schwimmsauger,schwimmende Saugstelle;Schwimmende Entnahmestelle,,Schläuche & Armaturen,Wasserentnahme,"Schwimmkörper mit Saugkorb","Wasserentnahme aus flachen oder verschmutzten Gewässern",,nein,GW-L;TLF,,Stück,DE,niedrig
Kupplungsdichtring,Dichtring;Storz-Dichtung,,Schläuche & Armaturen,Verbrauchsmittel,"Gummidichtring in der Storz-Kupplung","Abdichten der Kupplungsverbindung",,nein,alle,,Stück,DE,niedrig
Schlauchbinde,Schlauchmanschette;Schlauchbandage,,Schläuche & Armaturen,Zubehör,"Manschette zum Abdichten von Schlauchschäden","Provisorisches Abdichten geplatzter Schläuche",,nein,LF 20;HLF 20;GW-L,,Stück,DE,niedrig
C-DCD-Verteiler,Waldbrandverteiler;DCD-Verteiler,,Schläuche & Armaturen,Verteilarmaturen,"Kleiner Verteiler von C auf zwei D-Abgänge","Aufteilen der Wasserabgabe im Vegetationsbrandeinsatz",D-Schlauch-Rucksack,nein,GW-Waldbrand;TSF-W,,Stück,DE,niedrig
Verkehrsleitanhänger,Vorwarnanhänger;VWA;Verkehrssicherungsanhänger,VWA,Verkehrsabsicherung & Warnung,Warnung,"Anhänger mit Leuchtpfeil und Warntafel","Weiträumige Vorwarnung und Verkehrslenkung auf Straßen",,nein,Anhänger,,Stück,DE,mittel
Presslufthorn,Signalhorn;Drucklufthorn,,Verkehrsabsicherung & Warnung,Warnung,"Akustisches Signalhorn","Warnsignal und Räumungssignal an der Einsatzstelle",,nein,LF 20;TLF,,Stück,DE,niedrig
Trenntransformator,Trenntrafo;Schutztrafo,,Beleuchtung & Stromversorgung,Stromversorgung,"Transformator zur galvanischen Trennung","Schutz beim Betrieb von Elektrogeräten in nassen Bereichen",,nein,RW;GW-L,,Stück,DE,niedrig
CEE-Adaptersatz,Stromadapter;Adaptersatz,,Beleuchtung & Stromversorgung,Stromversorgung,"Satz Adapter zwischen CEE- und Schuko-Steckern","Anpassen unterschiedlicher Stromanschlüsse",,nein,RW;GW-L,,Satz,DE,niedrig
Verlängerungskabel,Verlängerungsleitung;Kabelverlängerung,,Beleuchtung & Stromversorgung,Stromversorgung,"Leitung mit Stecker und Kupplung","Verlängern der Stromversorgung im Nahbereich",,nein,alle,,Stück,DE,niedrig
Akku-Handleuchte,Akkulampe;Stablampe,,Beleuchtung & Stromversorgung,Beleuchtung,"Akkubetriebene Handleuchte","Beleuchtung im Nahbereich ohne Netzstrom",,nein,alle,,Stück,DE,niedrig
Drohne,UAV;Multicopter;Kopter,UAS,Kommunikation & Führung,Erkundung,"Ferngesteuertes Fluggerät mit Kamera, teils Wärmebild","Lageerkundung aus der Luft, Personensuche und Brandausbreitung",,nein,ELW;GW-Drohne,,Stück,DE,mittel
Einsatzleitrechner,Einsatzlaptop;Führungsrechner,,Kommunikation & Führung,Führung,"Rechner mit Einsatzleit- und Kartensoftware","Dokumentation und Lageführung im ELW",,nein,ELW,,Stück,DE,niedrig
Funkmast,Teleskopantenne;Antennenmast,,Kommunikation & Führung,Funk,"Ausfahrbarer Mast für eine Funkantenne","Reichweitenverbesserung des Einsatzstellenfunks",,nein,ELW,,Stück,DE,niedrig
Schnittschutzhose,Schnittschutzausrüstung;Forsthose,,PSA / Schutzausrüstung,Sonderschutz,"Hose mit Schnittschutzeinlage für die Kettensäge","Beinschutz bei Motorsägenarbeiten",,nein,LF 20;RW;GW-L,,Stück,DE,mittel
Forsthelm,Kombischutzhelm;Waldarbeiterhelm,,PSA / Schutzausrüstung,Kopfschutz,"Helm mit Gehörschutz und Gesichtsschutzgitter","Kopfschutz bei Motorsägen- und Forstarbeiten",,nein,LF 20;RW;GW-L,,Stück,DE,niedrig
Kapselgehörschutz,Gehörschutz;Ohrenschützer,,PSA / Schutzausrüstung,Zusatzausrüstung,"Gehörschützer gegen Lärm","Schutz vor Lärm bei Aggregaten und Sägen",,nein,alle,,Stück,DE,niedrig
Schutzbrille,Vollsichtbrille;Arbeitsschutzbrille,,PSA / Schutzausrüstung,Zusatzausrüstung,"Brille zum Schutz der Augen","Augenschutz bei Trenn-, Bohr- und Rüstarbeiten",Werkzeugkoffer,nein,alle,,Stück,DE,mittel
Einweghandschuhe,Nitrilhandschuhe;Infektionsschutzhandschuhe,,PSA / Schutzausrüstung,Hygiene,"Medizinische Einmalhandschuhe","Infektionsschutz bei der Patientenversorgung",Notfallrucksack,nein,alle,,Box,DE,niedrig
Infektionsschutzset,Infektionsschutz-Set;Hygieneset,,PSA / Schutzausrüstung,Hygiene,"Satz aus Overall, Maske, Brille und Handschuhen","Schutz vor Infektionserregern im Rettungseinsatz",,ja,RW;GW-San,,Satz,DE,niedrig
Warnjacke,Warnschutzjacke;Warnschutz-Parka,,PSA / Schutzausrüstung,Warnschutz,"Wetter- und Warnschutzjacke mit Reflexstreifen","Sichtbarkeit und Witterungsschutz im Verkehrsraum",,nein,alle,DIN EN ISO 20471,Stück,DE,niedrig
Notsignalpfeife,Signalpfeife;Trillerpfeife,,PSA / Schutzausrüstung,Zusatzausrüstung,"Pfeife am Feuerwehrhaltegurt oder Leinenbeutel","Akustisches Notsignal zur Eigenrettung",Feuerwehrleinenbeutel,nein,LF 20;HLF 20,,Stück,DE,niedrig
Hitzeschutzhandschuhe,Hitzehandschuhe,,PSA / Schutzausrüstung,Sonderschutz,"Handschuhe für hohe Wärmebelastung","Handschutz beim Hitzeschutzeinsatz",Hitzeschutzkoffer,nein,GW;RW;TLF,,Paar,DE,niedrig
Markierkreide,Kreide;Straßenkreide,,Kennzeichnung & Sonstiges,Markierung,"Kreide zum Markieren auf Boden und Bauteilen","Kennzeichnen von Fundstellen und Gefahrenbereichen",,nein,LF 20;HLF 20;RW,,Stück,DE,niedrig
Markierspray,Sprühkreide;Markierungsspray,,Kennzeichnung & Sonstiges,Markierung,"Sprühfarbe zum Markieren","Dauerhaftes Kennzeichnen an der Einsatzstelle",,nein,LF 20;HLF 20;RW,,Dose,DE,niedrig
Kabelbinder,Kabelbinder-Sortiment,,Kennzeichnung & Sonstiges,Verbrauchsmittel,"Kunststoffbinder in verschiedenen Größen","Bündeln, Fixieren und provisorisches Befestigen",Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Beutel,DE,niedrig
Aufzugsschlüssel,Feuerwehr-Bedienschlüssel;Aufzugsnotschlüssel,,Kennzeichnung & Sonstiges,Zugang,"Schlüssel zum Bedienen von Aufzügen im Einsatz","Aufzug in die Feuerwehr-Schaltung bringen und bedienen",,nein,HLF 20;LF 20;DLK,,Stück,DE,niedrig
FSD-Schlüssel,Feuerwehrschlüsseldepot-Schlüssel;Objektschlüssel,,Kennzeichnung & Sonstiges,Zugang,"Schlüssel für das Feuerwehr-Schlüsseldepot am Objekt","Gewaltfreier Zugang zu überwachten Objekten",,nein,HLF 20;LF 20,,Stück,DE,niedrig
Sägekette,Ersatzkette;Kettensäge-Ersatzkette,,Technische Hilfeleistung,Verbrauchsmittel,"Ersatz-Sägekette für die Motorsäge","Nachrüsten und Ersetzen stumpfer Ketten",,nein,LF 20;RW;GW-L,,Stück,DE,niedrig
Kraftstoffkanister,Benzinkanister;Reservekanister,,Technische Hilfeleistung,Verbrauchsmittel,"Kanister für Kraftstoffvorrat","Betanken von Aggregaten und Sägen",,ja,LF 20;RW;GW-L,,Kanister,DE,niedrig
Kraftstoffgemisch,2-Takt-Gemisch;Zweitaktgemisch,,Technische Hilfeleistung,Verbrauchsmittel,"Fertiges Benzin-Öl-Gemisch","Betrieb von Zweitaktgeräten wie Motorsäge und Trennschleifer",Kraftstoffkanister,nein,LF 20;RW;GW-L,,Kanister,DE,niedrig
Rettungssatz,hydraulischer Rettungssatz;Rettungssatz hydraulisch,,Technische Hilfeleistung,Container,"Set aus Schere, Spreizer, Zylinder und Aggregat","Gebündelte Ausstattung für die hydraulische Rettung",,ja,HLF 20;RW;LF 20,,Satz,DE,mittel
Schaummittelkanister,Schaummittelbehälter;Schaumkanister,,Löschmittel,Container,"Kanister zur Bevorratung von Schaummittel","Trägt und lagert das Schaummittel am Fahrzeug",,ja,LF 20;HLF 20;TLF,,Kanister 20 l,DE,mittel
Feuerwehrleinenbeutel,Leinenbeutel;Beutel für Feuerwehrleine,,Rettung & Absturzsicherung,Container,"Beutel zur Aufnahme der Feuerwehrleine","Verstaut und schützt die Feuerwehrleine",,ja,LF 20;HLF 20;TLF,DIN 14922,Stück,DE,mittel
Hitzeschutzkoffer,Hitzeschutz-Set;Hitzeschutzkiste,,PSA / Schutzausrüstung,Container,"Koffer mit Hitzeschutzanzug und Zubehör","Bündelt die Hitzeschutzausrüstung",,ja,GW;RW;TLF,,Stück,DE,niedrig
Gefahrgutausstattung,GAMS-Ausstattung;Gefahrgut-Ersteinsatz-Set,,Messtechnik & Gefahrgut,Container,"Zusammenstellung für den Gefahrgut-Ersteinsatz nach GAMS","Erstmaßnahmen bei Gefahrgutlagen (Gefahr erkennen, absperren, Menschenrettung, Spezialkräfte)",,ja,HLF 20;GW-G;RW,,Satz,DE,niedrig
